Date	treatment	pH	Temperature (C)	Salinity (ppt)	pCO2 (ppm)	DO (%)		
9/3/2020	AM->OWA	7.94	15		656			
9/9/2020	AM->OWA	7.92	15		944			
9/10/2020	AM->OWA	7.91	15		958			
9/14/2020	AM->OWA	7.91	15					
9/16/2020	AM->OWA	7.91	15		833			
9/17/2020	AM->OWA	7.89	15		946			
9/21/2020	AM->OWA	7.93	15		859			
9/23/2020	AM->OWA	7.87	16		1038			
9/24/2020	AM->OWA	7.87	15.5		976			
9/28/2020	AM->OWA	7.92	15.5		896			
9/30/2020	AM->OWA	7.85	15		1051			
10/4/2020	AM->OWA	7.92	15.5		847			
10/8/2020	AM->OWA	7.9	15		857			
10/12/2020	AM->OWA	7.56	15					
