Samp1	Treatment_1	Generation_1	Rep_1	Samp2	Treatment_2	Generation_2	Rep_2	fst	trt_gen1	trt_gen2	group	group_gen	Generation_mod
AH_F02_Rep3	OA	F02	Rep3	AA_F02_Rep3	AA	F02	Rep3	0.0301180364531405	AH_F02	AA_F02	AA_vs_AH	AA_vs_AH_F02	F02
HA_F02_Rep1	OW	F02	Rep1	AA_F02_Rep3	AA	F02	Rep3	0.0402826649155217	HA_F02	AA_F02	AA_vs_HA	AA_vs_HA_F02	F02
HA_F02_Rep2	OW	F02	Rep2	AA_F02_Rep3	AA	F02	Rep3	0.0549694716338201	HA_F02	AA_F02	AA_vs_HA	AA_vs_HA_F02	F02
HA_F02_Rep3	OW	F02	Rep3	AA_F02_Rep3	AA	F02	Rep3	0.0369190395734689	HA_F02	AA_F02	AA_vs_HA	AA_vs_HA_F02	F02
AH_F04_Rep1	OA	F04	Rep1	AA_F04_Rep1	AA	F04	Rep1	0.039844054802219	AH_F04	AA_F04	AA_vs_AH	AA_vs_AH_F04	F04
AH_F04_Rep2	OA	F04	Rep2	AA_F04_Rep1	AA	F04	Rep1	0.0362811742201885	AH_F04	AA_F04	AA_vs_AH	AA_vs_AH_F04	F04
AH_F04_Rep3	OA	F04	Rep3	AA_F04_Rep1	AA	F04	Rep1	0.0485997840760318	AH_F04	AA_F04	AA_vs_AH	AA_vs_AH_F04	F04
HA_F04_Rep1	OW	F04	Rep1	AA_F04_Rep1	AA	F04	Rep1	0.0402906272441224	HA_F04	AA_F04	AA_vs_HA	AA_vs_HA_F04	F04
HA_F04_Rep2	OW	F04	Rep2	AA_F04_Rep1	AA	F04	Rep1	0.0365282388566446	HA_F04	AA_F04	AA_vs_HA	AA_vs_HA_F04	F04
HA_F04_Rep3	OW	F04	Rep3	AA_F04_Rep1	AA	F04	Rep1	0.0309185979379253	HA_F04	AA_F04	AA_vs_HA	AA_vs_HA_F04	F04
HH_F04_Rep1	OWA	F04	Rep1	AA_F04_Rep1	AA	F04	Rep1	0.0352323194427435	HH_F04	AA_F04	AA_vs_HH	AA_vs_HH_F04	F02
HH_F04_Rep2	OWA	F04	Rep2	AA_F04_Rep1	AA	F04	Rep1	0.0375909664033692	HH_F04	AA_F04	AA_vs_HH	AA_vs_HH_F04	F02
HH_F04_Rep3	OWA	F04	Rep3	AA_F04_Rep1	AA	F04	Rep1	0.0599732046796327	HH_F04	AA_F04	AA_vs_HH	AA_vs_HH_F04	F02
AH_F04_Rep1	OA	F04	Rep1	AA_F04_Rep2	AA	F04	Rep2	0.0609872652592545	AH_F04	AA_F04	AA_vs_AH	AA_vs_AH_F04	F04
AH_F04_Rep2	OA	F04	Rep2	AA_F04_Rep2	AA	F04	Rep2	0.0524801350046887	AH_F04	AA_F04	AA_vs_AH	AA_vs_AH_F04	F04
AH_F04_Rep3	OA	F04	Rep3	AA_F04_Rep2	AA	F04	Rep2	0.0645813489028443	AH_F04	AA_F04	AA_vs_AH	AA_vs_AH_F04	F04
HA_F04_Rep1	OW	F04	Rep1	AA_F04_Rep2	AA	F04	Rep2	0.0597127040534405	HA_F04	AA_F04	AA_vs_HA	AA_vs_HA_F04	F04
HA_F04_Rep2	OW	F04	Rep2	AA_F04_Rep2	AA	F04	Rep2	0.0614440508764346	HA_F04	AA_F04	AA_vs_HA	AA_vs_HA_F04	F04
HA_F04_Rep3	OW	F04	Rep3	AA_F04_Rep2	AA	F04	Rep2	0.0506595077883803	HA_F04	AA_F04	AA_vs_HA	AA_vs_HA_F04	F04
HH_F04_Rep1	OWA	F04	Rep1	AA_F04_Rep2	AA	F04	Rep2	0.0526357096676439	HH_F04	AA_F04	AA_vs_HH	AA_vs_HH_F04	F02
