Treatment	Food	Bin	Hatch1	Hatch2	Hatch3	Unhatch1	Unhatch2	Unhatch3	EPR	HF1	HF2	HF3	HF
1	250	2	14	6	15	1	1	0	12.33333333	0.933333333	0.857142857	1	0
1	0	2	6	5	2	2	0	0	5	0.75	1	1	0.866666667
1	0	2	13	4	2	0	0	0	6.333333333	1	1	1	1
1	0	2	0	0	0	1	0	0	0.333333333	0	0	0	0
1	0	2	8	3	2	5	0	0	6	0.615384615	1	1	0.722222222
1	600	3	38	27	27	1	9	3	35	0.974358974	0.75	0.9	0.876190476
1	600	3	32	28	33	0	6	2	33.66666667	1	0.823529412	0.942857143	0.920792079
1	600	3	33	33	37	1	0	1	35	0.970588235	1	0.973684211	0.980952381
1	600	3	24	21	27	0	2	2	25.33333333	1	0.913043478	0.931034483	0.947368421
1	250	3	37	23	23	0	1	0	28	1	0.958333333	1	0
1	250	3	22	18	13	5	4	2	21.33333333	0.814814815	0.818181818	0.866666667	0.828125
1	250	3	5	3	16	26	8	10	22.66666667	0.161290323	0.272727273	0.615384615	0.352941176
1	250	3	34	23	33	1	0	0	30.33333333	0.971428571	1	1	0.989010989
1	0	3	12	11	6	1	0	0	10	0.923076923	1	1	0.966666667
1	0	3	22	7	5	1	0	0	11.66666667	0.956521739	1	1	0.971428571
1	0	3	7	4	1	6	6	2	8.666666667	0.538461538	0.4	0.333333333	0.461538462
1	0	3	27	7	0	2	1	0	18.5	0.931034483	0.875	0	0.918918919
6	600	1	5	7	10	0	0	0	7.333333333	1	1	1	1
6	600	1	1	8	8	0	0	0	5.666666667	1	1	1	1
6	600	1	1	25	18	0	1	1	15.33333333	1	0.961538462	0.947368421	0.956521739
6	600	1	1	17	14	2	1	1	12	0.333333333	0.944444444	0.933333333	0.888888889
6	250	1	4	13	10	1	1	0	9.666666667	0.8	0.928571429	1	0.931034483
6	250	1	6	14	11	1	1	1	11.33333333	0.857142857	0.933333333	0.916666667	0.911764706
6	250	1	4	0	0	0	0	0	2	1	0	0	1
6	250	1	1	5	7	0	1	0	4.666666667	1	0.833333333	1	0.928571429
6	0	1	2	14	12	1	1	0	10	0.666666667	0.933333333	1	0.933333333
6	0	1	3	15	15	3	0	0	12	0.5	1	1	0.916666667
6	0	1	1	8	10	0	1	0	6.666666667	1	0.888888889	1	0.95
6	0	1	5	11	15	0	0	0	10.33333333	1	1	1	1
6	600	2	0	2	0	0	0	0	0.666666667	0	1	0	1
6	600	2	1	1	0	0	0	0	0.666666667	1	1	0	1
6	600	2	1	0	0	0	0	0	0.333333333	1	0	0	1
6	600	2	0	1	0	0	0	0	0.333333333	0	1	0	1
6	250	2	0	1	0	0	0	0	0.333333333	0	1	0	1
6	250	2	0	0	0	0	0	0	0	0	0	0	0
6	250	2	17	17	15	0	0	1	16.66666667	1	1	0.9375	0.98
6	250	2	17	0	0	7	0	0	24	0.708333333	0	0	0.708333333
6	0	2	11	20	8	0	2	0	13.66666667	1	0.909090909	1	0.951219512
6	0	2	21	43	19	0	0	0	27.66666667	1	1	1	1
6	0	2	14	20	9	2	0	0	15	0.875	1	1	0.955555556
6	0	2	18	0	0	5	0	0	11.5	0.782608696	0	0	0.782608696
6	600	3	6	13	9	2	1	0	10.33333333	0.75	0.928571429	1	0.903225806
6	600	3	30	21	17	0	0	0	22.66666667	1	1	1	1
6	600	3	12	17	19	0	3	0	17	1	0.85	1	0.941176471
6	600	3	25	26	21	2	0	0	24.66666667	0.925925926	1	1	0.972972973
6	250	3	28	27	26	0	0	0	27	1	1	1	1
6	250	3	18	21	23	2	0	0	0	0.9	1	1	0.96875
6	250	3	7	2	0	4	1	0	4.666666667	0.636363636	0.666666667	0	0.642857143
6	250	3	4	4	0	0	0	0	2.666666667	1	1	0	1
6	0	3	12	2	0	0	0	0	4.666666667	1	1	0	0
6	0	3	14	5	0	0	0	0	6.333333333	1	1	0	1
6	0	3	5	0	0	0	2	0	2.333333333	1	0	0	0.714285714
6	0	3	0	5	3	0	2	0	3.333333333	0	0.714285714	1	0.8
