Generation	Number	Treatment	Temp	pH	Naup1	Un1	Sum1	EPR1	HF1	Naup2	Un2	Sum2	EPR2	HF2	EPRtot	Hftot
4	11	OWA	17	7.5	27	0	27	13.5	1	47	0	47	23.5	1	18.5	1
4	12	OWA	17	7.5	37	0	37	18.5	1	40	0	40	20	1	19.25	1
4	13	OWA	17	7.5	37	0	37	18.5	1	25	0	25	12.5	0	15.5	1
4	14	OWA	17	7.5	45	2	47	23.5	0.957446809	40	0	40	20	1	21.75	0.96
4	15	OWA	17	7.5	42	0	42	21	1	14	2	16	8	0.875	14.5	0.97
4	16	OWA	17	7.5	44	0	44	22	1	40	0	40	20	1	21	1
4	17	OWA	17	7.5	43	0	43	21.5	1	27	0	27	13.5	0	17.5	1
4	18	OWA	17	7.5	33	1	34	17	0.970588235	32	0	32	16	1	16.5	0.98
4	19	OWA	17	7.5	33	0	33	16.5	0	29	0	29	14.5	0	15.5	1
4	20	OWA	17	7.5	31	0	31	15.5	1	24	0	24	12	1	13.75	1
4	21	OWA	17	7.5	40	1	41	20.5	0.975609756	30	0	30	15	1	17.75	0.99
4	22	OWA	17	7.5	20	0	20	10	1	25	0	25	12.5	1	11.25	1
4	23	OWA	17	7.5	41	0	41	20.5	1	41	1	42	21	0.976190476	20.75	0.99
4	24	OWA	17	7.5	31	0	31	15.5	1	11	5	16	8	0.6875	11.75	0.89
4	25	OWA	17	7.5	40	0	40	20	1	32	0	32	16	1	18	1
4	26	OWA	17	7.5	43	0	43	21.5	1	41	0	41	20.5	1	21	1
4	27	OWA	17	7.5	39	1	40	20	0.975	59	1	60	30	0	25	0.98
4	28	OWA	17	7.5	45	0	45	22.5	0	30	0	30	15	1	18.75	1
4	29	OWA	17	7.5	33	5	38	19	0.868421053	25	1	26	13	0.961538462	16	0.91
4	30	OWA	17	7.5	48	1	49	24.5	0.979591837	39	1	40	20	0.975	22.25	0.98
4	31	OWA	17	7.5	57	2	59	29.5	0.966101695	49	1	50	25	0.98	27.25	0.97
4	32	OWA	17	7.5	32	8	40	20	0.8	34	2	36	18	0.944444444	19	0.87
4	33	OWA	17	7.5	40	1	41	20.5	0	24	4	28	14	0.857142857	17.25	0.98
4	34	OWA	17	7.5	31	3	34	17	0.911764706	26	1	27	13.5	0.962962963	15.25	0.93
4	35	OWA	17	7.5	34	0	34	17	1	21	1	22	11	0.954545455	14	0.98
4	36	OWA	17	7.5	44	1	45	22.5	0.977777778	55	1	56	28	0.982142857	25.25	0.98
