Treatment	Food	Rep	surv	epr	hf	dev.time	lambda
4	250	2	0.72	5.5	1	21	1.04330236116653
4	250	2	0.72	0.333333333	1	21	0.923643727521289
4	250	3	0.76	13.33333333	0.975	18	1.13955412043437
4	250	3	0.76	7.666666667	1	18	1.11351234271574
4	250	3	0.76	10.33333333	0	18	0
4	250	3	0.76	6	0.944444444	18	1.0989804287625
4	250	3	0.76	14.33333333	0	18	0
4	250	3	0.76	18.66666667	0.964285714	18	1.1560283232799
4	250	3	0.76	3	0	18	0
4	250	3	0.76	12.66666667	1	18	1.13825328651471
4	250	3	0.76	8.666666667	0.730769231	18	1.10429626946015
4	250	3	0.76	11.66666667	0.914285714	18	1.12969925735615
4	250	3	0.76	5.5	1	18	1.09755980178427
4	250	3	0.76	0.333333333	1	18	0.974946201273269
4	600	1	0.68	4	1	16	1.01390020996741
4	600	1	0.68	10.33333333	0.741935484	16	1.05126161688782
4	600	1	0.68	13.66666667	0.975609756	16	1.0841640180279
4	600	1	0.68	13.66666667	1	16	1.0856568116077
4	600	1	0.68	0	0	16	0
4	600	1	0.68	3	0.666666667	16	0.975606525606429
4	600	1	0.68	8	0	16	0
4	600	1	0.68	1.666666667	0.8	16	0.953904399698188
4	600	1	0.68	8	0.666666667	16	1.03024819602502
4	600	1	0.68	13.66666667	0.926829268	16	1.08106987787469
4	600	1	0.68	13.66666667	0.902439024	16	1.07946480198938
4	600	1	0.68	18.33333333	0.909090909	16	1.0977318539151
4	600	2	0.84	4	1	18	1.06773236311002
4	600	2	0.84	10.33333333	0.741935484	18	1.10233565391647
4	600	2	0.84	13.66666667	0.975609756	18	1.1327054600418
4	600	2	0.84	13.66666667	1	18	1.13408110899048
4	600	2	0.84	0	0	18	0
4	600	2	0.84	3	0.666666667	18	1.03213004673053
4	600	2	0.84	8	0	18	0
4	600	2	0.84	1.666666667	0.8	18	1.01188978787159
4	600	2	0.84	8	0.666666667	18	1.08288922395659
4	600	2	0.84	13.66666667	0.926829268	18	1.12985351539372
4	600	2	0.84	13.66666667	0.902439024	18	1.12837375155711
4	600	2	0.84	18.33333333	0.909090909	18	1.14520155655658
4	600	3	0.6	4	1	17	1.02158513319307
4	600	3	0.6	10.33333333	0.741935484	17	1.05572263287272
4	600	3	0.6	13.66666667	0.975609756	17	1.08575152790357
4	600	3	0.6	13.66666667	1	17	1.08711322241356
4	600	3	0.6	0	0	17	0
4	600	3	0.6	3	0.666666667	17	0.98654920602564
4	600	3	0.6	8	0	17	0
4	600	3	0.6	1.666666667	0.8	17	0.966670741710788
4	600	3	0.6	8	0.666666667	17	1.03652775608473
4	600	3	0.6	13.66666667	0.926829268	17	1.08292892199739
4	600	3	0.6	13.66666667	0.902439024	17	1.08146459849928
4	600	3	0.6	18.33333333	0.909090909	17	1.09812556622818
5	250	1	0.68	11.5	0	19	0
5	250	1	0.68	13.66666667	0.951219512	19	1.12596478168382
5	250	1	0.68	8.5	0.058823529	19	0.981915886126552
5	250	1	0.68	9	0.037037037	19	0.965771352981023
5	250	1	0.68	4.666666667	0.142857143	19	0.993593491239886
5	250	1	0.68	23	0.985507246	19	1.15333607379145
5	250	1	0.68	20	1	19	1.14709737970391
5	250	1	0.68	18.33333333	0.981818182	19	1.14188038822518
5	250	1	0.68	18.66666667	0	19	0
5	250	1	0.68	15.66666667	0	19	0
5	250	1	0.68	12.33333333	0	19	0
5	250	2	0.84	11.5	0	19	0
5	250	2	0.84	13.66666667	0.951219512	19	1.14411023564732
5	250	2	0.84	8.5	0.058823529	19	0.991449745309691
5	250	2	0.84	9	0.037037037	19	0.974176439138722
5	250	2	0.84	4.666666667	0.142857143	19	1.00392349720921
5	250	2	0.84	23	0.985507246	19	1.1728322844991
5	250	2	0.84	20	1	19	1.16629310469676
5	250	2	0.84	18.33333333	0.981818182	19	1.16082152478466
5	250	2	0.84	18.66666667	0	19	0
5	250	2	0.84	15.66666667	0	19	0
5	250	2	0.84	12.33333333	0	19	0
5	250	3	0.84375	11.5	0	21	0
5	250	3	0.84375	13.66666667	0.951219512	21	1.14285064700835
5	250	3	0.84375	8.5	0.058823529	21	1.00385617758366
5	250	3	0.84375	9	0.037037037	21	0.988023905144292
5	250	3	0.84375	4.666666667	0.142857143	21	1.01527532302695
5	250	3	0.84375	23	0.985507246	21	1.16882629130013
5	250	3	0.84375	20	1	21	1.16291702632682
5	250	3	0.84375	18.33333333	0.981818182	21	1.15797042798978
5	250	3	0.84375	18.66666667	0	21	0
5	250	3	0.84375	15.66666667	0	21	0
5	250	3	0.84375	12.33333333	0	21	0
5	600	1	0.84	24.66666667	0.947368421	18	1.2076680210146
